orig, dest, cnt
bhs_18_32_gadm2-8,fin_78_4_gadm2-8,9
bhs_18_6_gadm2-8,esp_215_11_gadm2-8,1
bhs_18_6_gadm2-8,swe_222_15_gadm2-8,1
blm_190_gadm2-8,aut_16_9_gadm2-8,1
blr_22_5_gadm2-8,chn_49_3_gadm2-8,2
blz_24_5_gadm2-8,blz_24_1_gadm2-8,2809
bmu_26_3_gadm2-8,bhs_18_32_gadm2-8,1
bmu_26_3_gadm2-8,usa_244_33_gadm2-8,1811
bol_28_8_gadm2-8,kor_213_11_gadm2-8,1
bol_28_8_gadm2-8,mex_145_19_gadm2-8,5
bra_33_10_gadm2-8,usa_244_26_gadm2-8,1
bra_33_12_gadm2-8,usa_244_10_gadm2-8,151
bra_33_13_gadm2-8,eth_74_1_gadm2-8,31
bra_33_14_gadm2-8,bel_23_1_gadm2-8,2
bra_33_17_gadm2-8,bra_33_5_gadm2-8,6992
bra_33_19_gadm2-8,lux_131_3_gadm2-8,68
bra_33_19_gadm2-8,tur_235_11_gadm2-8,1
bra_33_1_gadm2-8,bra_33_13_gadm2-8,41
bra_33_1_gadm2-8,bra_33_25_gadm2-8,29
bra_33_1_gadm2-8,bra_33_4_gadm2-8,215
bra_33_21_gadm2-8,usa_244_37_gadm2-8,2
bra_33_23_gadm2-8,bra_33_2_gadm2-8,40
bra_33_24_gadm2-8,bra_33_12_gadm2-8,9935
bra_33_24_gadm2-8,col_53_30_gadm2-8,105
bra_33_24_gadm2-8,mex_145_11_gadm2-8,22
bra_33_24_gadm2-8,usa_244_38_gadm2-8,80
bra_33_25_gadm2-8,can_42_1_gadm2-8,20
bra_33_25_gadm2-8,swe_222_21_gadm2-8,2
bra_33_26_gadm2-8,usa_244_34_gadm2-8,6
bra_33_2_gadm2-8,chn_49_24_gadm2-8,1
bra_33_2_gadm2-8,usa_244_1_gadm2-8,0
bra_33_5_gadm2-8,mar_152_8_gadm2-8,12
bra_33_5_gadm2-8,nor_169_14_gadm2-8,1
bra_33_6_gadm2-8,usa_244_11_gadm2-8,17
bra_33_7_gadm2-8,usa_244_32_gadm2-8,0
bra_33_7_gadm2-8,ven_249_11_gadm2-8,1
bra_33_8_gadm2-8,bgd_20_2_gadm2-8,1
bra_33_9_gadm2-8,est_73_1_gadm2-8,2
bra_33_9_gadm2-8,ita_112_8_gadm2-8,7
bra_33_9_gadm2-8,usa_244_35_gadm2-8,0
bwa_31_2_gadm2-8,prt_182_12_gadm2-8,1
bwa_31_4_gadm2-8,chn_49_31_gadm2-8,4
bwa_31_4_gadm2-8,deu_86_3_gadm2-8,2
bwa_31_4_gadm2-8,omn_170_11_gadm2-8,21
can_42_10_gadm2-8,bhs_18_27_gadm2-8,0
can_42_11_gadm2-8,fra_79_22_gadm2-8,746
can_42_11_gadm2-8,irn_107_5_gadm2-8,6
can_42_11_gadm2-8,phl_179_59_gadm2-8,2
can_42_11_gadm2-8,tha_228_64_gadm2-8,0
can_42_11_gadm2-8,usa_244_30_gadm2-8,0
can_42_12_gadm2-8,bmu_26_3_gadm2-8,4
can_42_12_gadm2-8,rus_188_14_gadm2-8,0
can_42_1_gadm2-8,chn_49_26_gadm2-8,73
can_42_1_gadm2-8,moz_153_5_gadm2-8,1
can_42_1_gadm2-8,sdn_218_7_gadm2-8,0
can_42_1_gadm2-8,usa_244_50_gadm2-8,193
can_42_2_gadm2-8,bra_33_25_gadm2-8,21
can_42_2_gadm2-8,chn_49_25_gadm2-8,55
can_42_2_gadm2-8,ita_112_4_gadm2-8,1
can_42_2_gadm2-8,mkd_133_6_gadm2-8,2
can_42_3_gadm2-8,bra_33_9_gadm2-8,1
can_42_3_gadm2-8,usa_244_17_gadm2-8,14
can_42_3_gadm2-8,vnm_250_26_gadm2-8,33
can_42_4_gadm2-8,uzb_246_13_gadm2-8,0
can_42_5_gadm2-8,bra_33_25_gadm2-8,1
can_42_5_gadm2-8,usa_244_33_gadm2-8,88
