orig, dest, cnt
usa_244_12_gadm2-8,usa_244_26_gadm2-8,1753
usa_244_13_gadm2-8,ind_105_20_gadm2-8,1
usa_244_13_gadm2-8,ita_112_2_gadm2-8,2
usa_244_13_gadm2-8,mli_138_1_gadm2-8,0
usa_244_13_gadm2-8,usa_244_4_gadm2-8,73
usa_244_14_gadm2-8,blz_24_1_gadm2-8,182
usa_244_14_gadm2-8,chn_49_19_gadm2-8,34
usa_244_14_gadm2-8,gab_83_1_gadm2-8,12
usa_244_14_gadm2-8,gtm_94_7_gadm2-8,390
usa_244_14_gadm2-8,irn_107_7_gadm2-8,11
usa_244_15_gadm2-8,can_42_9_gadm2-8,408
usa_244_15_gadm2-8,nic_161_13_gadm2-8,40
usa_244_15_gadm2-8,usa_244_44_gadm2-8,8020
usa_244_16_gadm2-8,chn_49_11_gadm2-8,0
usa_244_16_gadm2-8,ind_105_16_gadm2-8,1
usa_244_16_gadm2-8,prt_182_9_gadm2-8,0
usa_244_16_gadm2-8,sau_200_7_gadm2-8,4
usa_244_16_gadm2-8,usa_244_45_gadm2-8,302
usa_244_17_gadm2-8,ita_112_13_gadm2-8,0
usa_244_19_gadm2-8,atg_11_6_gadm2-8,19
usa_244_19_gadm2-8,grc_89_3_gadm2-8,11
usa_244_19_gadm2-8,irn_107_6_gadm2-8,1
usa_244_19_gadm2-8,ita_112_5_gadm2-8,4
usa_244_19_gadm2-8,jpn_114_29_gadm2-8,1
usa_244_19_gadm2-8,tur_235_30_gadm2-8,0
usa_244_19_gadm2-8,usa_244_25_gadm2-8,12
usa_244_1_gadm2-8,usa_244_29_gadm2-8,1072
usa_244_1_gadm2-8,usa_244_6_gadm2-8,1349
usa_244_20_gadm2-8,col_53_27_gadm2-8,1
usa_244_20_gadm2-8,ltu_130_10_gadm2-8,0
usa_244_20_gadm2-8,per_178_21_gadm2-8,0
usa_244_20_gadm2-8,tur_235_17_gadm2-8,0
usa_244_21_gadm2-8,mmr_154_15_gadm2-8,1
usa_244_21_gadm2-8,mne_150_20_gadm2-8,0
usa_244_22_gadm2-8,deu_86_4_gadm2-8,41
usa_244_22_gadm2-8,idn_106_11_gadm2-8,2
usa_244_22_gadm2-8,idn_106_12_gadm2-8,11
usa_244_22_gadm2-8,mex_145_23_gadm2-8,2724
usa_244_22_gadm2-8,pak_171_5_gadm2-8,1
usa_244_22_gadm2-8,svk_207_4_gadm2-8,1
usa_244_23_gadm2-8,aut_16_4_gadm2-8,6
usa_244_23_gadm2-8,col_53_12_gadm2-8,0
usa_244_24_gadm2-8,chn_49_6_gadm2-8,12
usa_244_24_gadm2-8,nzl_160_1_gadm2-8,18
usa_244_25_gadm2-8,irl_109_16_gadm2-8,0
usa_244_26_gadm2-8,kna_193_3_gadm2-8,33
usa_244_26_gadm2-8,ukr_240_12_gadm2-8,20
usa_244_27_gadm2-8,bra_33_4_gadm2-8,0
usa_244_27_gadm2-8,deu_86_15_gadm2-8,0
usa_244_27_gadm2-8,idn_106_4_gadm2-8,0
usa_244_27_gadm2-8,ita_112_9_gadm2-8,1
usa_244_27_gadm2-8,per_178_17_gadm2-8,0
usa_244_27_gadm2-8,rwa_189_5_gadm2-8,0
usa_244_27_gadm2-8,sgp_205_1_gadm2-8,3
usa_244_28_gadm2-8,col_53_2_gadm2-8,2
usa_244_28_gadm2-8,grc_89_6_gadm2-8,0
usa_244_29_gadm2-8,afg_1_4_gadm2-8,1
usa_244_29_gadm2-8,bgd_20_3_gadm2-8,0
usa_244_29_gadm2-8,ecu_68_10_gadm2-8,42
usa_244_29_gadm2-8,mdv_137_gadm2-8,8
usa_244_29_gadm2-8,per_178_22_gadm2-8,4
usa_244_29_gadm2-8,usa_244_12_gadm2-8,7522
usa_244_29_gadm2-8,usa_244_15_gadm2-8,3397
usa_244_2_gadm2-8,ben_25_8_gadm2-8,0
usa_244_2_gadm2-8,bhs_18_24_gadm2-8,2
usa_244_2_gadm2-8,chn_49_2_gadm2-8,16
usa_244_31_gadm2-8,bra_33_2_gadm2-8,1
usa_244_31_gadm2-8,ken_118_30_gadm2-8,42
usa_244_32_gadm2-8,cyp_61_2_gadm2-8,1
usa_244_32_gadm2-8,eth_74_1_gadm2-8,1
usa_244_32_gadm2-8,kor_213_11_gadm2-8,15
usa_244_33_gadm2-8,chl_48_11_gadm2-8,44
usa_244_33_gadm2-8,cub_59_4_gadm2-8,1723
usa_244_33_gadm2-8,deu_86_2_gadm2-8,506
usa_244_33_gadm2-8,rus_188_47_gadm2-8,23
usa_244_33_gadm2-8,rus_188_62_gadm2-8,26
usa_244_34_gadm2-8,chn_49_10_gadm2-8,0
usa_244_34_gadm2-8,chn_49_26_gadm2-8,17
usa_244_34_gadm2-8,eth_74_9_gadm2-8,0
usa_244_34_gadm2-8,mmr_154_15_gadm2-8,6
usa_244_34_gadm2-8,mys_136_4_gadm2-8,28
usa_244_34_gadm2-8,nzl_160_14_gadm2-8,0
usa_244_34_gadm2-8,pan_174_2_gadm2-8,4
usa_244_34_gadm2-8,pol_181_12_gadm2-8,1
usa_244_35_gadm2-8,pol_181_13_gadm2-8,0
usa_244_35_gadm2-8,usa_244_41_gadm2-8,67
usa_244_36_gadm2-8,hnd_101_6_gadm2-8,56
usa_244_36_gadm2-8,mne_150_18_gadm2-8,3
usa_244_37_gadm2-8,kor_213_11_gadm2-8,93
usa_244_37_gadm2-8,sau_200_8_gadm2-8,17
usa_244_38_gadm2-8,per_178_13_gadm2-8,1
usa_244_38_gadm2-8,pol_181_13_gadm2-8,3
usa_244_38_gadm2-8,tcd_47_22_gadm2-8,0
usa_244_39_gadm2-8,deu_86_3_gadm2-8,54
usa_244_3_gadm2-8,pol_181_12_gadm2-8,2
usa_244_3_gadm2-8,sau_200_5_gadm2-8,2
usa_244_3_gadm2-8,som_210_18_gadm2-8,1
usa_244_3_gadm2-8,usa_244_35_gadm2-8,2669
usa_244_40_gadm2-8,che_223_25_gadm2-8,3
usa_244_40_gadm2-8,grc_89_3_gadm2-8,1
usa_244_40_gadm2-8,usa_244_28_gadm2-8,119
usa_244_41_gadm2-8,egy_69_6_gadm2-8,0
usa_244_41_gadm2-8,ury_245_10_gadm2-8,1
usa_244_42_gadm2-8,bhs_18_21_gadm2-8,7
usa_244_42_gadm2-8,col_53_5_gadm2-8,0
usa_244_43_gadm2-8,gab_83_1_gadm2-8,1
usa_244_43_gadm2-8,hrv_58_16_gadm2-8,0
usa_244_44_gadm2-8,pry_177_5_gadm2-8,26
usa_244_45_gadm2-8,mli_138_1_gadm2-8,8
usa_244_46_gadm2-8,chn_49_25_gadm2-8,0
usa_244_46_gadm2-8,lca_194_10_gadm2-8,14
usa_244_47_gadm2-8,cub_59_11_gadm2-8,10
usa_244_47_gadm2-8,ind_105_5_gadm2-8,1
usa_244_47_gadm2-8,ven_249_25_gadm2-8,31
usa_244_48_gadm2-8,bra_33_19_gadm2-8,64
usa_244_48_gadm2-8,pri_183_65_gadm2-8,353
usa_244_48_gadm2-8,vnm_250_33_gadm2-8,1
usa_244_4_gadm2-8,irq_108_5_gadm2-8,0
usa_244_4_gadm2-8,nzl_160_1_gadm2-8,22
usa_244_4_gadm2-8,rus_188_14_gadm2-8,0
usa_244_51_gadm2-8,bhs_18_21_gadm2-8,9
usa_244_51_gadm2-8,pol_181_3_gadm2-8,0
usa_244_5_gadm2-8,egy_69_11_gadm2-8,538
usa_244_5_gadm2-8,fji_77_5_gadm2-8,866
usa_244_5_gadm2-8,jpn_114_15_gadm2-8,144
usa_244_5_gadm2-8,kor_213_14_gadm2-8,46
usa_244_6_gadm2-8,eth_74_3_gadm2-8,4
usa_244_6_gadm2-8,kaz_117_12_gadm2-8,1
usa_244_6_gadm2-8,nzl_160_7_gadm2-8,6
usa_244_6_gadm2-8,rus_188_15_gadm2-8,1
usa_244_7_gadm2-8,egy_69_11_gadm2-8,2
usa_244_7_gadm2-8,gum_93_4_gadm2-8,2
usa_244_7_gadm2-8,pol_181_5_gadm2-8,0
usa_244_7_gadm2-8,tza_227_9_gadm2-8,0
uzb_246_12_gadm2-8,usa_244_33_gadm2-8,2
uzb_246_13_gadm2-8,arm_13_4_gadm2-8,35
uzb_246_13_gadm2-8,bgr_37_24_gadm2-8,1
ven_249_11_gadm2-8,sau_200_5_gadm2-8,1
ven_249_17_gadm2-8,ven_249_18_gadm2-8,237
vir_251_1_gadm2-8,usa_244_24_gadm2-8,53
vir_251_3_gadm2-8,usa_244_20_gadm2-8,0
vnm_250_1_gadm2-8,vnm_250_23_gadm2-8,21043
vnm_250_1_gadm2-8,vnm_250_30_gadm2-8,1400
vnm_250_23_gadm2-8,aus_15_2_gadm2-8,27
vnm_250_23_gadm2-8,ita_112_5_gadm2-8,9
vnm_250_23_gadm2-8,mex_145_16_gadm2-8,0
vnm_250_23_gadm2-8,mex_145_22_gadm2-8,0
vnm_250_23_gadm2-8,tto_233_8_gadm2-8,1
vnm_250_26_gadm2-8,bgr_37_5_gadm2-8,13
vnm_250_26_gadm2-8,jam_113_10_gadm2-8,2
vnm_250_30_gadm2-8,vnm_250_8_gadm2-8,9
vnm_250_36_gadm2-8,che_223_25_gadm2-8,2
vnm_250_47_gadm2-8,sgp_205_1_gadm2-8,34
vnm_250_8_gadm2-8,cze_62_12_gadm2-8,2
vut_247_4_gadm2-8,are_241_1_gadm2-8,1
xnc_167_5_gadm2-8,ind_105_25_gadm2-8,15
zaf_211_1_gadm2-8,bwa_31_12_gadm2-8,15
zaf_211_3_gadm2-8,egy_69_11_gadm2-8,333
zaf_211_3_gadm2-8,fra_79_18_gadm2-8,16
zaf_211_3_gadm2-8,per_178_15_gadm2-8,31
zaf_211_3_gadm2-8,usa_244_1_gadm2-8,13
zaf_211_4_gadm2-8,esp_215_17_gadm2-8,3
zaf_211_4_gadm2-8,ita_112_16_gadm2-8,12
zaf_211_4_gadm2-8,zmb_255_2_gadm2-8,54
zaf_211_6_gadm2-8,zmb_255_9_gadm2-8,283
zaf_211_9_gadm2-8,arm_13_4_gadm2-8,4
zaf_211_9_gadm2-8,bwa_31_2_gadm2-8,58
zaf_211_9_gadm2-8,ind_105_36_gadm2-8,24
zaf_211_9_gadm2-8,tha_228_48_gadm2-8,74
zmb_255_2_gadm2-8,aut_16_6_gadm2-8,0
zmb_255_2_gadm2-8,prt_182_15_gadm2-8,1
zmb_255_5_gadm2-8,chn_49_15_gadm2-8,1
zmb_255_5_gadm2-8,tur_235_29_gadm2-8,0
zmb_255_5_gadm2-8,usa_244_38_gadm2-8,1
zmb_255_9_gadm2-8,hrv_58_5_gadm2-8,0
zmb_255_9_gadm2-8,nor_169_12_gadm2-8,9
zwe_256_2_gadm2-8,aus_15_10_gadm2-8,7
zwe_256_2_gadm2-8,tur_235_70_gadm2-8,0
zwe_256_2_gadm2-8,usa_244_23_gadm2-8,0
,arg_12_18_gadm2-8,1
,chn_49_20_gadm2-8,1
,jpn_114_25_gadm2-8,1
,prt_182_12_gadm2-8,8655
afg_1_14_gadm2-8,deu_86_9_gadm2-8,11
afg_1_4_gadm2-8,tur_235_59_gadm2-8,2
ago_8_8_gadm2-8,bra_33_19_gadm2-8,1
alb_4_11_gadm2-8,chn_49_26_gadm2-8,0
are_241_1_gadm2-8,mar_152_5_gadm2-8,484
are_241_1_gadm2-8,mex_145_28_gadm2-8,0
are_241_1_gadm2-8,usa_244_41_gadm2-8,29
are_241_3_gadm2-8,cod_63_8_gadm2-8,8
are_241_3_gadm2-8,fin_78_4_gadm2-8,1306
are_241_3_gadm2-8,rus_188_18_gadm2-8,10
are_241_3_gadm2-8,rus_188_7_gadm2-8,19
are_241_3_gadm2-8,usa_244_23_gadm2-8,107
arg_12_13_gadm2-8,bra_33_17_gadm2-8,7
arg_12_13_gadm2-8,swe_222_21_gadm2-8,2
arg_12_14_gadm2-8,ita_112_9_gadm2-8,0
arg_12_15_gadm2-8,mex_145_27_gadm2-8,1
arg_12_18_gadm2-8,ita_112_10_gadm2-8,0
arg_12_19_gadm2-8,usa_244_6_gadm2-8,0
arg_12_1_gadm2-8,bra_33_15_gadm2-8,196
arg_12_20_gadm2-8,bra_33_19_gadm2-8,42
arg_12_21_gadm2-8,aus_15_5_gadm2-8,1
arg_12_21_gadm2-8,gbr_242_1_gadm2-8,49
arg_12_24_gadm2-8,ind_105_25_gadm2-8,0
arg_12_24_gadm2-8,ita_112_2_gadm2-8,2
arg_12_24_gadm2-8,rus_188_44_gadm2-8,0
arg_12_2_gadm2-8,aus_15_5_gadm2-8,22
arg_12_2_gadm2-8,chl_48_15_gadm2-8,5
arg_12_2_gadm2-8,lva_124_3_gadm2-8,2
arg_12_5_gadm2-8,can_42_11_gadm2-8,1
arg_12_6_gadm2-8,arg_12_24_gadm2-8,5232
arm_13_4_gadm2-8,grc_89_1_gadm2-8,19
arm_13_4_gadm2-8,mng_149_21_gadm2-8,2
arm_13_4_gadm2-8,usa_244_19_gadm2-8,1
asm_6_1_gadm2-8,wsm_197_9_gadm2-8,1250
atg_11_6_gadm2-8,fin_78_2_gadm2-8,2
aus_15_10_gadm2-8,bdi_39_2_gadm2-8,1
aus_15_10_gadm2-8,idn_106_30_gadm2-8,7
aus_15_10_gadm2-8,phl_179_47_gadm2-8,1259
aus_15_10_gadm2-8,sgp_205_1_gadm2-8,7366
aus_15_11_gadm2-8,irq_108_10_gadm2-8,27
aus_15_11_gadm2-8,usa_244_48_gadm2-8,54
aus_15_2_gadm2-8,jpn_114_29_gadm2-8,1
aus_15_2_gadm2-8,lao_123_13_gadm2-8,4
aus_15_5_gadm2-8,lso_126_5_gadm2-8,0
aus_15_5_gadm2-8,mmr_154_8_gadm2-8,15
aus_15_7_gadm2-8,aus_15_2_gadm2-8,6421
aus_15_7_gadm2-8,ind_105_16_gadm2-8,179
aus_15_7_gadm2-8,nzl_160_1_gadm2-8,13221
aus_15_7_gadm2-8,ury_245_10_gadm2-8,9
aus_15_7_gadm2-8,usa_244_36_gadm2-8,21
aus_15_8_gadm2-8,aus_15_10_gadm2-8,22621
aus_15_8_gadm2-8,can_42_1_gadm2-8,43
aus_15_8_gadm2-8,cok_55_gadm2-8,2
aus_15_8_gadm2-8,jor_116_2_gadm2-8,30
aus_15_8_gadm2-8,usa_244_21_gadm2-8,2
aus_15_9_gadm2-8,omn_170_11_gadm2-8,14
aus_15_9_gadm2-8,usa_244_48_gadm2-8,26
aut_16_4_gadm2-8,aus_15_8_gadm2-8,1
aut_16_6_gadm2-8,gab_83_1_gadm2-8,1
aut_16_7_gadm2-8,mys_136_4_gadm2-8,7
aut_16_7_gadm2-8,nld_158_14_gadm2-8,658
aut_16_9_gadm2-8,bra_33_20_gadm2-8,2
aut_16_9_gadm2-8,grc_89_7_gadm2-8,34
aut_16_9_gadm2-8,per_178_23_gadm2-8,0
aut_16_9_gadm2-8,rus_188_15_gadm2-8,4
aut_16_9_gadm2-8,rus_188_18_gadm2-8,11
aut_16_9_gadm2-8,usa_244_49_gadm2-8,2
aze_17_1_gadm2-8,egy_69_6_gadm2-8,11
aze_17_4_gadm2-8,can_42_4_gadm2-8,0
bdi_39_2_gadm2-8,ind_105_29_gadm2-8,2
bdi_39_2_gadm2-8,kor_213_11_gadm2-8,1
bdi_39_2_gadm2-8,nor_169_18_gadm2-8,0
bdi_39_2_gadm2-8,tza_227_9_gadm2-8,23
bdi_39_2_gadm2-8,zmb_255_5_gadm2-8,32
bel_23_1_gadm2-8,deu_86_5_gadm2-8,36
bel_23_1_gadm2-8,eth_74_5_gadm2-8,4
bel_23_1_gadm2-8,mex_145_2_gadm2-8,28
bel_23_1_gadm2-8,sdn_218_7_gadm2-8,21
bel_23_1_gadm2-8,usa_244_31_gadm2-8,504
bel_23_3_gadm2-8,ita_112_2_gadm2-8,935
ben_25_8_gadm2-8,are_241_3_gadm2-8,12
ben_25_8_gadm2-8,deu_86_10_gadm2-8,1
ben_25_8_gadm2-8,fra_79_2_gadm2-8,11
bes_29_1_gadm2-8,usa_244_11_gadm2-8,91
bfa_38_7_gadm2-8,nld_158_9_gadm2-8,15
bgd_20_2_gadm2-8,tha_228_3_gadm2-8,389
bgd_20_3_gadm2-8,gbr_242_3_gadm2-8,61
bgr_37_24_gadm2-8,bgr_37_5_gadm2-8,1112
bgr_37_5_gadm2-8,aus_15_11_gadm2-8,7
bgr_37_5_gadm2-8,can_42_7_gadm2-8,2
bgr_37_5_gadm2-8,mex_145_14_gadm2-8,0
bgr_37_5_gadm2-8,pol_181_9_gadm2-8,308
bgr_37_5_gadm2-8,sgp_205_1_gadm2-8,92
bgr_37_5_gadm2-8,usa_244_4_gadm2-8,0
bhr_19_5_gadm2-8,com_54_2_gadm2-8,1
bhr_19_5_gadm2-8,kaz_117_2_gadm2-8,8
bhs_18_12_gadm2-8,usa_244_3_gadm2-8,5
bhs_18_21_gadm2-8,chl_48_13_gadm2-8,30
bhs_18_21_gadm2-8,mlt_139_gadm2-8,0
bhs_18_24_gadm2-8,usa_244_48_gadm2-8,32
bhs_18_30_gadm2-8,usa_244_10_gadm2-8,83
bhs_18_6_gadm2-8,deu_86_5_gadm2-8,0
bhs_18_6_gadm2-8,gbr_242_4_gadm2-8,0
bih_30_2_gadm2-8,ner_162_5_gadm2-8,1
bih_30_2_gadm2-8,tur_235_27_gadm2-8,16
blm_190_gadm2-8,fra_79_16_gadm2-8,13
blm_190_gadm2-8,svn_208_7_gadm2-8,1
blm_190_gadm2-8,swe_222_15_gadm2-8,1
blr_22_5_gadm2-8,dnk_64_1_gadm2-8,70
blr_22_5_gadm2-8,esp_215_13_gadm2-8,9
blr_22_5_gadm2-8,tha_228_10_gadm2-8,5
blr_22_5_gadm2-8,tur_235_35_gadm2-8,2
blz_24_1_gadm2-8,deu_86_7_gadm2-8,18
blz_24_1_gadm2-8,usa_244_47_gadm2-8,217
bmu_26_3_gadm2-8,col_53_14_gadm2-8,48
bmu_26_3_gadm2-8,cub_59_1_gadm2-8,5
bol_28_4_gadm2-8,bra_33_24_gadm2-8,253
bol_28_8_gadm2-8,fin_78_4_gadm2-8,3
bra_33_10_gadm2-8,arg_12_2_gadm2-8,35
bra_33_11_gadm2-8,hkg_102_1_gadm2-8,1
bra_33_11_gadm2-8,nor_169_7_gadm2-8,0
bra_33_13_gadm2-8,deu_86_7_gadm2-8,56
bra_33_13_gadm2-8,usa_244_35_gadm2-8,0
bra_33_13_gadm2-8,zaf_211_9_gadm2-8,8
bra_33_14_gadm2-8,esp_215_10_gadm2-8,3
bra_33_16_gadm2-8,col_53_21_gadm2-8,2
bra_33_16_gadm2-8,nam_155_5_gadm2-8,3
bra_33_17_gadm2-8,tur_235_40_gadm2-8,23
bra_33_19_gadm2-8,afg_1_4_gadm2-8,1
bra_33_19_gadm2-8,ind_105_16_gadm2-8,34
bra_33_20_gadm2-8,usa_244_6_gadm2-8,12
bra_33_24_gadm2-8,moz_153_5_gadm2-8,40
bra_33_25_gadm2-8,aus_15_7_gadm2-8,1
bra_33_25_gadm2-8,tca_237_4_gadm2-8,5
bra_33_26_gadm2-8,bra_33_8_gadm2-8,48
bra_33_3_gadm2-8,bra_33_13_gadm2-8,157
bra_33_3_gadm2-8,dnk_64_1_gadm2-8,1
bra_33_4_gadm2-8,pan_174_2_gadm2-8,2
bra_33_5_gadm2-8,esp_215_12_gadm2-8,65
bra_33_7_gadm2-8,afg_1_4_gadm2-8,1
bra_33_7_gadm2-8,bra_33_23_gadm2-8,385
bra_33_7_gadm2-8,fra_79_13_gadm2-8,5
bra_33_7_gadm2-8,jor_116_2_gadm2-8,1
bra_33_7_gadm2-8,swe_222_8_gadm2-8,0
bra_33_8_gadm2-8,bhs_18_27_gadm2-8,0
bra_33_8_gadm2-8,dnk_64_5_gadm2-8,1
bra_33_8_gadm2-8,prt_182_9_gadm2-8,3
brb_21_8_gadm2-8,can_42_7_gadm2-8,36
brb_21_8_gadm2-8,chn_49_2_gadm2-8,18
brb_21_8_gadm2-8,chn_49_3_gadm2-8,3
brb_21_8_gadm2-8,usa_244_47_gadm2-8,116
brb_21_8_gadm2-8,vct_196_5_gadm2-8,1109
brn_36_2_gadm2-8,tha_228_53_gadm2-8,9
brn_36_2_gadm2-8,usa_244_36_gadm2-8,1
btn_27_8_gadm2-8,npl_157_1_gadm2-8,339
bwa_31_4_gadm2-8,can_42_2_gadm2-8,1
bwa_31_4_gadm2-8,npl_157_1_gadm2-8,2
caf_46_2_gadm2-8,che_223_8_gadm2-8,1
can_42_10_gadm2-8,can_42_11_gadm2-8,409
can_42_10_gadm2-8,cub_59_7_gadm2-8,2
can_42_10_gadm2-8,vct_196_5_gadm2-8,1
can_42_11_gadm2-8,cri_56_7_gadm2-8,662
can_42_11_gadm2-8,ita_112_6_gadm2-8,50
can_42_11_gadm2-8,vnm_250_23_gadm2-8,51
can_42_12_gadm2-8,fra_79_13_gadm2-8,1
can_42_12_gadm2-8,mex_145_11_gadm2-8,0
can_42_1_gadm2-8,eri_72_1_gadm2-8,35
can_42_1_gadm2-8,irn_107_15_gadm2-8,0
can_42_1_gadm2-8,phl_179_51_gadm2-8,10
can_42_2_gadm2-8,bdi_39_2_gadm2-8,0
can_42_2_gadm2-8,ita_112_8_gadm2-8,71
can_42_2_gadm2-8,mex_145_31_gadm2-8,63
can_42_2_gadm2-8,nor_169_7_gadm2-8,6
can_42_2_gadm2-8,nzl_160_10_gadm2-8,38
can_42_3_gadm2-8,bhr_19_5_gadm2-8,2
can_42_3_gadm2-8,jpn_114_7_gadm2-8,6
can_42_3_gadm2-8,usa_244_38_gadm2-8,80
can_42_4_gadm2-8,bra_33_9_gadm2-8,0
can_42_4_gadm2-8,mda_147_12_gadm2-8,0
can_42_5_gadm2-8,idn_106_2_gadm2-8,3
can_42_6_gadm2-8,deu_86_1_gadm2-8,0
can_42_6_gadm2-8,prt_182_12_gadm2-8,1
can_42_7_gadm2-8,kor_213_12_gadm2-8,2
can_42_7_gadm2-8,mex_145_9_gadm2-8,40
can_42_7_gadm2-8,tto_233_8_gadm2-8,24
che_223_21_gadm2-8,cub_59_4_gadm2-8,3
che_223_21_gadm2-8,omn_170_11_gadm2-8,1
che_223_25_gadm2-8,jpn_114_32_gadm2-8,34
che_223_25_gadm2-8,nor_169_12_gadm2-8,797
che_223_8_gadm2-8,kor_213_11_gadm2-8,129
che_223_8_gadm2-8,phl_179_47_gadm2-8,205
chl_48_10_gadm2-8,ecu_68_10_gadm2-8,3
chl_48_11_gadm2-8,esp_215_10_gadm2-8,0
chl_48_11_gadm2-8,usa_244_3_gadm2-8,1
chl_48_13_gadm2-8,irl_109_4_gadm2-8,4
chl_48_4_gadm2-8,arg_12_24_gadm2-8,7
chl_48_6_gadm2-8,mex_145_20_gadm2-8,2
chl_48_7_gadm2-8,aus_15_8_gadm2-8,1
chl_48_7_gadm2-8,bhs_18_24_gadm2-8,2
chn_49_10_gadm2-8,khm_40_21_gadm2-8,81
chn_49_10_gadm2-8,usa_244_29_gadm2-8,3
chn_49_11_gadm2-8,jpn_114_4_gadm2-8,1003
chn_49_12_gadm2-8,chn_49_2_gadm2-8,3985
chn_49_12_gadm2-8,fra_79_4_gadm2-8,114
chn_49_12_gadm2-8,irn_107_28_gadm2-8,30
chn_49_12_gadm2-8,tha_228_13_gadm2-8,12
chn_49_12_gadm2-8,usa_244_41_gadm2-8,3
chn_49_13_gadm2-8,mex_145_9_gadm2-8,25
chn_49_14_gadm2-8,usa_244_32_gadm2-8,3
chn_49_15_gadm2-8,bra_33_13_gadm2-8,1
chn_49_15_gadm2-8,chn_49_21_gadm2-8,617
chn_49_15_gadm2-8,col_53_14_gadm2-8,4
chn_49_15_gadm2-8,srb_202_4_gadm2-8,5
chn_49_15_gadm2-8,tjk_226_4_gadm2-8,1
chn_49_15_gadm2-8,usa_244_47_gadm2-8,48
chn_49_16_gadm2-8,jpn_114_31_gadm2-8,26
chn_49_16_gadm2-8,swe_222_21_gadm2-8,1
chn_49_18_gadm2-8,chn_49_23_gadm2-8,26950
chn_49_18_gadm2-8,ita_112_16_gadm2-8,16
chn_49_20_gadm2-8,,1
chn_49_20_gadm2-8,deu_86_3_gadm2-8,0
chn_49_21_gadm2-8,can_42_2_gadm2-8,5
chn_49_21_gadm2-8,ecu_68_19_gadm2-8,0
chn_49_21_gadm2-8,usa_244_5_gadm2-8,62
chn_49_22_gadm2-8,mex_145_11_gadm2-8,0
chn_49_22_gadm2-8,usa_244_5_gadm2-8,406
chn_49_23_gadm2-8,deu_86_2_gadm2-8,55
chn_49_23_gadm2-8,idn_106_12_gadm2-8,29
chn_49_23_gadm2-8,idn_106_15_gadm2-8,1
chn_49_23_gadm2-8,zmb_255_5_gadm2-8,0
chn_49_24_gadm2-8,afg_1_14_gadm2-8,2
chn_49_24_gadm2-8,arg_12_8_gadm2-8,0
chn_49_24_gadm2-8,bwa_31_2_gadm2-8,1
chn_49_24_gadm2-8,can_42_3_gadm2-8,57
chn_49_24_gadm2-8,ind_105_32_gadm2-8,142
chn_49_24_gadm2-8,ita_112_6_gadm2-8,218
chn_49_26_gadm2-8,dnk_64_5_gadm2-8,5
chn_49_27_gadm2-8,chl_48_13_gadm2-8,1
chn_49_27_gadm2-8,usa_244_28_gadm2-8,0
chn_49_28_gadm2-8,blr_22_5_gadm2-8,1
chn_49_2_gadm2-8,mex_145_1_gadm2-8,1
chn_49_2_gadm2-8,mex_145_22_gadm2-8,10
chn_49_2_gadm2-8,rus_188_45_gadm2-8,18
chn_49_30_gadm2-8,ind_105_2_gadm2-8,3
chn_49_31_gadm2-8,chn_49_16_gadm2-8,2345
chn_49_3_gadm2-8,mar_152_5_gadm2-8,14
chn_49_3_gadm2-8,mex_145_19_gadm2-8,0
chn_49_4_gadm2-8,mys_136_3_gadm2-8,29
chn_49_4_gadm2-8,phl_179_28_gadm2-8,97
chn_49_4_gadm2-8,tha_228_48_gadm2-8,302
chn_49_5_gadm2-8,can_42_3_gadm2-8,5
chn_49_5_gadm2-8,mex_145_27_gadm2-8,0
chn_49_6_gadm2-8,mar_152_9_gadm2-8,1
chn_49_6_gadm2-8,tur_235_78_gadm2-8,2
chn_49_6_gadm2-8,usa_244_33_gadm2-8,1620
chn_49_6_gadm2-8,vut_247_4_gadm2-8,2
chn_49_9_gadm2-8,idn_106_34_gadm2-8,19
chn_49_9_gadm2-8,ita_112_10_gadm2-8,47
civ_57_6_gadm2-8,usa_244_6_gadm2-8,0
cmr_41_2_gadm2-8,cmr_41_7_gadm2-8,312
cmr_41_2_gadm2-8,usa_244_51_gadm2-8,0
cod_63_7_gadm2-8,civ_57_10_gadm2-8,2
cod_63_7_gadm2-8,cod_63_5_gadm2-8,257
cog_185_10_gadm2-8,bfa_38_7_gadm2-8,20
cog_185_10_gadm2-8,ind_105_31_gadm2-8,1
cog_185_2_gadm2-8,ago_8_10_gadm2-8,1
cog_185_2_gadm2-8,usa_244_48_gadm2-8,2
col_53_10_gadm2-8,arg_12_13_gadm2-8,2
col_53_10_gadm2-8,deu_86_7_gadm2-8,1
col_53_10_gadm2-8,usa_244_29_gadm2-8,2
col_53_14_gadm2-8,ecu_68_9_gadm2-8,101
col_53_14_gadm2-8,fra_79_18_gadm2-8,24
col_53_14_gadm2-8,tur_235_26_gadm2-8,0
col_53_17_gadm2-8,col_53_2_gadm2-8,62
col_53_19_gadm2-8,col_53_25_gadm2-8,173
col_53_1_gadm2-8,arg_12_1_gadm2-8,5
col_53_21_gadm2-8,esp_215_12_gadm2-8,7
col_53_22_gadm2-8,bra_33_6_gadm2-8,2
col_53_27_gadm2-8,ven_249_11_gadm2-8,1
col_53_29_gadm2-8,esp_215_16_gadm2-8,2
col_53_2_gadm2-8,col_53_16_gadm2-8,3
col_53_2_gadm2-8,deu_86_2_gadm2-8,18
col_53_30_gadm2-8,kgz_122_2_gadm2-8,0
